Player,Squad,90s,Yellow cards,Red cards,Two yellow cards,Fouls committed,Fouls drawn,Offsides,Crosses attempted,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Ball recoveries,Aerial duels won,Aerial duels lost,Aerial duels won percentage
Josephine Wilson,Newcastle Jets,17.4,0.06,0,0,0.29,0.29,0,0.52,1.26,1.26,0,0,0,5.29,0.57,0.98,37
Alicia Woods,Brisbane Roar,21,0.14,0,0,0.81,1.14,0,1.43,2.05,3.29,0.05,0,0,7.05,0.76,0.43,64
Fiona Worts,Adelaide Utd,14.7,0.07,0,0,1.09,1.36,0.41,1.97,0.54,1.43,0,0,0,3.67,0.27,1.09,20
Megan Wynne,Perth Glory,16.9,0.12,0,0,1.54,1.36,0.41,3.31,0.47,2.19,0.06,0,0,5.21,0.24,0.36,40
Tameka Yallop,Brisbane Roar,18.8,0,0,0,0.43,2.23,0.27,4.63,0.32,0.85,0,0,0,4.84,0.32,0.85,27.3
Jessica Young,Melb Victory,0.4,0,0,0,2.5,0,0,0,0,0,0,0,0,10,0,0,0
Talia Younis,W Sydney,16.5,0,0,0,0.55,1.76,0.12,2.42,0.85,2.18,0,0,0,6.12,0.73,0.55,57.1
Catherine Zimmerman,Western United,14.3,0.14,0,0,0.98,1.19,0.35,2.31,1.54,1.4,0,0,0,5.17,0.84,1.54,35.3
Salome Zogg,Perth Glory,20.6,0.1,0,0,0.63,0.53,0,0.1,2.33,1.6,0,0.05,0,4.61,0.78,0.78,50
Paige Zois,Melb Victory,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
