Player,Squad,90s,Yellow cards,Red cards,Two yellow cards,Fouls committed,Fouls drawn,Offsides,Crosses attempted,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Ball recoveries,Aerial duels won,Aerial duels lost,Aerial duels won percentage
Tiana Jaber,Wellington Phoenix,19.8,0.4,0.05,0.05,1.21,0.61,0,0.81,1.36,1.41,0,0.05,0.05,3.89,0.76,0.51,60
Deven Jackson,Newcastle Jets,16,0,0,0,0.56,0.63,0,0.88,0.63,0.69,0,0,0,4.69,0.75,0.56,57.1
Grace Jale,Wellington Phoenix,18.6,0.11,0,0,0.59,0.59,0.16,1.18,1.94,2.26,0,0,0,5.38,2.9,1.51,65.9
Sally James,Canberra Utd,22.9,0.04,0,0,0,0.13,0,0.04,0,0,0,0,0.04,2.01,0.26,0,100
Alana Jancevski,Melb Victory,18.4,0.22,0,0,1.2,0.87,0.16,4.95,1.47,1.9,0,0,0,5,0.54,0.27,66.7
Claudia Jenkins,Adelaide Utd,22,0.05,0,0,0.05,0.14,0,0,0,0,0,0,0,2.18,0.14,0.05,75
Ela Jerez,Wellington Phoenix,0.5,2,0,0,6,2,0,0,0,2,0,0,0,2,0,2,0
Kahli Johnson,Western United,17.3,0,0,0,0.98,1.33,0.69,2.2,0.12,0.35,0.12,0,0,3.35,1.21,1.16,51.2
Lucy Johnson,Sydney FC,10.3,0.19,0,0,1.65,1.07,0.1,0.29,0.58,0.78,0,0,0,6.02,1.17,0.39,75
Grace Johnston,Perth Glory,20.5,0.05,0,0,0.34,0.49,0,1.8,1.27,1.66,0,0,0,4.44,0.44,0.54,45
Talia Kapetanellis,W Sydney,2.5,0,0,0,0,0.4,0.4,5.6,1.2,3.2,0,0,0,9.6,0.4,0.8,33.3
Tiarna Karambasis,Adelaide Utd,4.9,0.2,0,0,1.84,0.41,0,2.04,1.84,2.04,0,0,0,8.57,1.84,1.43,56.3
Caitlin Karic,Melb City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aideen Keane,Canberra Utd,9.3,0,0,0,0.75,2.04,0.43,1.51,0.86,2.58,0.11,0,0,4.52,1.08,1.29,45.5
Alivia Kelly,Wellington Phoenix,14,0.36,0,0,1.36,0.07,0.07,0.79,1.5,1.21,0,0,0.07,4.79,0.93,0.57,61.9
Sham Khamis,W Sydney,19.9,0.1,0.1,0,0.15,0.2,0,0,0,0,0,0.1,0.05,2.41,0.65,0.15,81.3
Taren King,Central Coast Mariners,0.4,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,2.5,0
Amali Kinsella,Brisbane Roar,0.7,0,0,0,1.43,0,0,0,4.29,1.43,0,0,0,4.29,0,0,0
Lara Kirkby,Adelaide Utd,0.5,0,0,0,0,0,0,0,0,2,0,0,0,6,2,2,50
Greta Kraszula,Central Coast Mariners,3.7,0,0,0,0.54,0.27,0,0.27,2.16,2.97,0,0,0,7.84,0.27,0.81,25
Zara Kruger,Brisbane Roar,11.8,0,0,0,0.51,0.68,0,0.42,0.59,1.53,0,0,0,5.93,0.25,0.59,30
Danielle Krzyzaniak,Newcastle Jets,14.9,0.07,0.13,0,0.2,0,0,0,0,0.07,0,0,0,2.82,0.2,0.07,75
Grace Kuilamu,Brisbane Roar,9.6,0.1,0,0,0.73,0.94,0.21,1.35,0.42,1.25,0,0,0,2.92,1.15,1.88,37.9
Rebecca Lake,Wellington Phoenix,1.9,0,0,0,1.05,0,0,0,1.58,1.05,0,0,0,4.74,4.21,2.63,61.5
Tanika Lala,Perth Glory,2.2,0,0,0,0.45,0.45,0,0,0.45,0.91,0,0,0,1.36,0,0.91,0
Sarah Langman,Central Coast Mariners,23,0.09,0,0,0,0.04,0,0,0,0,0,0,0,2.52,0.09,0.04,66.7
Abbey Lemon,Sydney FC,13.1,0,0,0,0.92,0.53,0,0.84,2.6,3.82,0,0,0,6.03,1.07,1.6,40
Tamar Levin,Brisbane Roar,5.6,0,0,0,1.25,0.89,0,0.71,0.36,1.61,0,0,0,4.29,0.18,0.36,33.3
Chloe Lincoln,Western United,15,0,0,0,0,0.33,0,0,0,0,0,0,0,2.33,0.07,0.07,50
Ella Lincoln,Perth Glory,1.7,0,0,0,0,2.35,0,1.18,0,1.18,0,0,0,7.06,0,0,0
